Year,County,Surgery,# of Cases (ICD 10)
2013,Mendocino,Colon,7
2013,Mendocino,Breast,103
2013,Merced,Breast,6
2013,Merced,Rectum,3
2013,Merced,Breast,34
2013,Merced,Prostate,3
2013,Merced,Colon,12
2013,Mono,Prostate,6
2013,Monterey,Rectum,15
2013,Monterey,Colon,39
2013,Monterey,Breast,68
2013,Monterey,Stomach,7
2013,Monterey,Brain,14
2013,Monterey,Liver,1
2013,Monterey,Lung,20
2013,Monterey,Prostate,1
2013,Monterey,Pancreas,3
2013,Monterey,Colon,1
2013,Monterey,Stomach,2
2013,Monterey,Rectum,5
2013,Monterey,Prostate,8
2013,Monterey,Lung,12
2013,Monterey,Colon,15
2013,Monterey,Breast,78
2013,Monterey,Brain,8
2013,Monterey,Stomach,1
2013,Monterey,Rectum,1
2013,Monterey,Prostate,1
2013,Monterey,Colon,2
